user_id,group,platform,user_tenure_days,games_watched_30d,favorite_team_playing,clicked,session_duration_sec,engagement_tier
96,treatment,iOS,98,6,False,0,287,Mid (4-7)
97,control,Android,163,6,False,0,135,Mid (4-7)
98,control,iOS,529,8,False,1,457,High (8+)
99,control,iOS,38,6,False,0,152,Mid (4-7)
100,control,Android,425,8,False,1,528,High (8+)
101,treatment,Android,9,5,False,1,354,Mid (4-7)
102,control,Android,66,6,False,1,317,Mid (4-7)
103,treatment,iOS,61,7,False,1,382,Mid (4-7)
104,treatment,Android,177,5,False,0,187,Mid (4-7)
105,control,iOS,25,4,False,0,234,Mid (4-7)
106,control,iOS,385,6,False,1,394,Mid (4-7)
107,treatment,iOS,317,5,False,0,182,Mid (4-7)
108,control,iOS,190,5,False,0,206,Mid (4-7)
109,control,iOS,110,6,False,0,86,Mid (4-7)
110,control,iOS,486,4,True,0,186,Mid (4-7)
111,control,iOS,319,7,False,1,299,Mid (4-7)
112,treatment,Android,124,7,True,0,158,Mid (4-7)
113,treatment,iOS,217,5,False,1,470,Mid (4-7)
114,treatment,iOS,150,7,True,1,486,Mid (4-7)
115,treatment,iOS,159,6,False,0,199,Mid (4-7)
116,treatment,iOS,72,10,True,0,171,High (8+)
117,control,Android,111,7,False,0,278,Mid (4-7)
118,treatment,iOS,14,5,False,0,157,Mid (4-7)
119,treatment,Android,79,3,False,0,224,Low (0-3)
120,treatment,iOS,214,4,False,0,250,Mid (4-7)
121,treatment,iOS,551,5,True,1,426,Mid (4-7)
122,control,Android,593,1,False,1,433,Low (0-3)
123,control,Android,146,4,True,0,253,Mid (4-7)
124,control,iOS,167,7,False,0,259,Mid (4-7)
125,control,Android,36,9,False,1,454,High (8+)
126,treatment,iOS,213,9,True,0,263,High (8+)
127,treatment,Android,13,9,False,0,191,High (8+)
128,control,Android,60,6,True,0,114,Mid (4-7)
129,treatment,Android,198,6,False,1,436,Mid (4-7)
130,control,Android,66,11,False,0,140,High (8+)
131,control,iOS,9,2,True,0,255,Low (0-3)
132,control,Android,320,9,False,1,286,High (8+)
133,control,iOS,66,2,False,1,583,Low (0-3)
134,treatment,iOS,11,6,False,0,131,Mid (4-7)
135,control,iOS,13,7,False,0,117,Mid (4-7)
136,treatment,iOS,52,4,False,0,167,Mid (4-7)
137,treatment,Android,35,6,True,0,101,Mid (4-7)
138,control,iOS,267,6,True,1,395,Mid (4-7)
139,treatment,iOS,69,3,False,0,253,Low (0-3)
140,treatment,iOS,293,12,False,1,643,High (8+)
141,control,iOS,34,4,False,0,263,Mid (4-7)
142,control,Android,122,5,False,0,221,Mid (4-7)
143,control,iOS,209,2,False,0,155,Low (0-3)
144,control,Android,189,5,False,0,186,Mid (4-7)
145,control,Android,165,9,False,1,369,High (8+)
146,treatment,Android,465,10,True,0,251,High (8+)
147,treatment,iOS,46,5,False,0,185,Mid (4-7)
148,control,Android,122,6,True,0,114,Mid (4-7)
149,control,iOS,387,8,True,0,100,High (8+)
150,treatment,Android,14,8,True,0,168,High (8+)
151,control,iOS,10,9,True,0,183,High (8+)
152,control,iOS,47,7,True,0,100,Mid (4-7)
153,control,iOS,180,6,False,0,247,Mid (4-7)
154,treatment,Android,54,9,True,0,168,High (8+)
155,control,iOS,37,7,False,0,233,Mid (4-7)
156,treatment,iOS,110,11,False,0,129,High (8+)
157,treatment,iOS,171,10,False,1,356,High (8+)
158,control,Android,51,6,False,1,382,Mid (4-7)
159,treatment,Android,64,5,False,0,146,Mid (4-7)
160,control,iOS,171,3,True,0,154,Low (0-3)
161,treatment,Android,524,1,True,1,437,Low (0-3)
162,treatment,iOS,202,8,False,0,245,High (8+)
163,treatment,iOS,274,7,False,0,202,Mid (4-7)
164,control,Android,82,7,True,0,120,Mid (4-7)
165,treatment,iOS,57,8,True,0,115,High (8+)
166,control,iOS,109,14,False,0,189,High (8+)
167,control,iOS,296,6,True,0,165,Mid (4-7)
168,control,iOS,109,4,False,0,192,Mid (4-7)
169,treatment,iOS,337,6,False,0,81,Mid (4-7)
170,treatment,iOS,808,8,False,0,313,High (8+)
171,control,iOS,13,3,True,0,77,Low (0-3)
172,treatment,iOS,8,3,False,0,167,Low (0-3)
173,control,iOS,29,5,False,0,135,Mid (4-7)
174,treatment,iOS,87,4,True,0,105,Mid (4-7)
175,control,iOS,25,4,True,0,217,Mid (4-7)
176,treatment,Android,368,5,True,0,167,Mid (4-7)
177,control,iOS,4,6,False,0,110,Mid (4-7)
178,treatment,Android,68,10,True,0,152,High (8+)
179,control,Android,36,8,False,0,219,High (8+)
180,control,Android,482,3,False,0,238,Low (0-3)
181,control,iOS,199,3,False,0,274,Low (0-3)
182,treatment,iOS,437,6,False,0,199,Mid (4-7)
183,treatment,iOS,645,11,False,0,149,High (8+)
184,control,Android,123,2,False,0,142,Low (0-3)
185,treatment,iOS,48,5,True,0,210,Mid (4-7)
186,treatment,Android,38,7,True,0,259,Mid (4-7)
187,treatment,Android,45,5,False,0,61,Mid (4-7)
188,treatment,iOS,221,4,False,1,453,Mid (4-7)
189,control,iOS,7,10,False,0,104,High (8+)
190,control,Android,9,10,False,1,358,High (8+)
191,treatment,iOS,168,4,False,0,283,Mid (4-7)
192,treatment,iOS,184,3,True,0,73,Low (0-3)
193,treatment,Android,196,9,False,0,80,High (8+)
194,control,iOS,83,9,False,0,271,High (8+)
195,control,Android,295,3,True,1,368,Low (0-3)
196,treatment,Android,137,7,False,0,178,Mid (4-7)
197,treatment,Android,20,8,False,1,396,High (8+)
198,treatment,iOS,287,1,False,0,285,Low (0-3)
199,treatment,iOS,550,8,False,0,196,High (8+)
200,treatment,iOS,11,3,True,0,179,Low (0-3)
201,control,iOS,89,2,True,0,66,Low (0-3)
202,control,iOS,120,6,False,0,126,Mid (4-7)
203,treatment,iOS,28,5,True,0,68,Mid (4-7)
204,treatment,iOS,364,6,False,0,181,Mid (4-7)
205,control,iOS,60,4,True,0,265,Mid (4-7)
206,control,Android,275,12,False,0,154,High (8+)
207,treatment,iOS,200,10,False,0,207,High (8+)
208,control,iOS,164,7,True,0,232,Mid (4-7)
209,control,Android,38,5,True,0,203,Mid (4-7)
210,treatment,Android,44,6,False,0,174,Mid (4-7)
211,treatment,iOS,8,8,False,0,98,High (8+)
212,treatment,iOS,49,7,True,0,222,Mid (4-7)
213,control,iOS,76,8,True,0,251,High (8+)
214,treatment,Android,322,6,False,1,374,Mid (4-7)
215,control,Android,82,8,False,0,159,High (8+)
216,control,Android,252,3,True,0,228,Low (0-3)
217,treatment,iOS,104,5,False,0,200,Mid (4-7)
218,treatment,iOS,276,3,True,0,276,Low (0-3)
219,treatment,iOS,673,8,False,0,152,High (8+)
220,treatment,Android,49,10,False,0,224,High (8+)
221,treatment,Android,356,5,True,0,205,Mid (4-7)
222,control,Android,175,10,True,0,182,High (8+)
223,control,iOS,305,6,False,0,144,Mid (4-7)
224,control,iOS,189,5,True,0,225,Mid (4-7)
225,control,iOS,99,3,False,1,203,Low (0-3)
226,treatment,Android,46,8,False,0,60,High (8+)
227,control,Android,13,4,False,0,189,Mid (4-7)
228,treatment,iOS,138,8,True,0,215,High (8+)
229,treatment,iOS,834,4,False,0,129,Mid (4-7)
230,treatment,iOS,241,7,False,1,515,Mid (4-7)
231,treatment,iOS,71,4,False,0,201,Mid (4-7)
232,treatment,Android,316,3,False,0,223,Low (0-3)
233,control,iOS,263,8,False,0,159,High (8+)
234,control,Android,59,7,True,0,100,Mid (4-7)
235,treatment,iOS,2,5,True,0,181,Mid (4-7)
236,control,Android,22,6,False,0,258,Mid (4-7)
237,control,iOS,377,6,False,0,233,Mid (4-7)
238,treatment,Android,326,4,False,1,559,Mid (4-7)
239,control,iOS,62,5,False,0,170,Mid (4-7)
240,treatment,iOS,60,4,False,0,173,Mid (4-7)
241,treatment,iOS,283,4,False,1,409,Mid (4-7)
242,treatment,iOS,499,7,False,0,173,Mid (4-7)
243,control,iOS,271,10,True,0,170,High (8+)
244,control,iOS,167,7,False,0,145,Mid (4-7)
245,treatment,Android,50,7,False,0,325,Mid (4-7)
246,control,iOS,134,10,False,0,73,High (8+)
247,treatment,Android,47,5,False,0,181,Mid (4-7)
248,treatment,Android,297,5,False,1,477,Mid (4-7)
249,treatment,iOS,88,9,False,0,219,High (8+)
250,control,Android,322,6,True,1,593,Mid (4-7)
251,control,iOS,86,8,False,1,365,High (8+)
252,treatment,iOS,312,8,True,1,441,High (8+)
253,control,iOS,72,6,False,0,157,Mid (4-7)
254,control,Android,104,9,True,0,139,High (8+)
255,treatment,iOS,172,8,False,0,246,High (8+)
256,treatment,iOS,13,6,False,0,118,Mid (4-7)
257,treatment,iOS,532,6,False,0,137,Mid (4-7)
258,treatment,Android,153,7,False,0,201,Mid (4-7)
259,control,iOS,127,4,False,0,223,Mid (4-7)
260,treatment,Android,329,7,False,0,165,Mid (4-7)
261,treatment,Android,361,3,False,0,208,Low (0-3)
262,control,Android,132,2,False,0,192,Low (0-3)
263,treatment,Android,471,5,False,1,420,Mid (4-7)
264,treatment,Android,12,5,True,1,289,Mid (4-7)
265,treatment,iOS,21,8,True,0,239,High (8+)
266,treatment,iOS,163,7,False,0,120,Mid (4-7)
267,treatment,iOS,78,5,True,0,340,Mid (4-7)
268,control,iOS,112,4,False,0,148,Mid (4-7)
269,control,iOS,71,4,True,0,276,Mid (4-7)
270,treatment,iOS,93,6,False,1,432,Mid (4-7)
271,treatment,iOS,311,11,False,0,162,High (8+)
272,treatment,Android,162,6,True,0,242,Mid (4-7)
273,treatment,iOS,1067,7,False,0,238,Mid (4-7)
274,treatment,Android,278,11,True,1,318,High (8+)
275,treatment,iOS,57,5,False,0,76,Mid (4-7)
276,treatment,Android,55,14,True,0,89,High (8+)
277,treatment,Android,73,6,True,0,215,Mid (4-7)
278,treatment,iOS,333,1,False,0,178,Low (0-3)
279,treatment,iOS,4,8,True,0,191,High (8+)
280,treatment,iOS,47,4,True,0,240,Mid (4-7)
281,control,iOS,423,3,False,0,157,Low (0-3)
282,control,Android,183,2,True,0,225,Low (0-3)
283,control,Android,46,3,False,0,142,Low (0-3)
284,treatment,iOS,44,9,False,0,185,High (8+)
285,control,iOS,357,3,False,1,409,Low (0-3)
286,control,iOS,403,12,False,0,115,High (8+)
287,treatment,iOS,53,3,False,0,179,Low (0-3)
288,control,Android,98,3,False,0,231,Low (0-3)
289,treatment,iOS,323,5,False,0,210,Mid (4-7)
290,control,iOS,265,6,False,0,267,Mid (4-7)
291,control,iOS,302,8,False,0,151,High (8+)
292,treatment,iOS,131,12,False,0,270,High (8+)
293,control,Android,436,5,False,0,193,Mid (4-7)
294,control,iOS,71,1,False,0,151,Low (0-3)
295,treatment,Android,30,4,False,1,175,Mid (4-7)
296,treatment,Android,222,6,False,1,396,Mid (4-7)
297,control,iOS,139,6,False,1,468,Mid (4-7)
298,treatment,iOS,347,5,False,0,81,Mid (4-7)
299,control,Android,15,4,True,0,254,Mid (4-7)
300,control,Android,334,2,False,0,141,Low (0-3)
301,treatment,Android,62,9,False,0,182,High (8+)
302,treatment,iOS,191,9,True,0,251,High (8+)
303,treatment,Android,7,8,False,0,142,High (8+)
304,treatment,iOS,169,5,False,1,375,Mid (4-7)
305,treatment,Android,227,6,False,1,444,Mid (4-7)
306,treatment,Android,82,8,True,0,188,High (8+)
307,control,iOS,43,5,False,0,203,Mid (4-7)
308,treatment,Android,138,4,True,0,258,Mid (4-7)
309,control,iOS,322,8,True,1,453,High (8+)
310,control,Android,70,5,True,0,251,Mid (4-7)
311,control,iOS,52,7,False,1,259,Mid (4-7)
312,control,Android,58,6,False,0,148,Mid (4-7)
313,treatment,iOS,536,4,True,0,298,Mid (4-7)
314,treatment,Android,80,4,False,0,237,Mid (4-7)
315,treatment,iOS,0,5,True,0,181,Mid (4-7)
316,control,iOS,273,4,True,0,303,Mid (4-7)
317,control,iOS,216,4,False,0,114,Mid (4-7)
318,control,Android,24,5,False,0,211,Mid (4-7)
319,control,iOS,754,3,False,0,173,Low (0-3)
320,treatment,iOS,168,8,True,0,181,High (8+)
321,treatment,iOS,125,3,True,0,225,Low (0-3)
322,treatment,Android,86,5,False,0,218,Mid (4-7)
323,control,iOS,412,2,False,0,186,Low (0-3)
324,treatment,iOS,50,10,True,0,225,High (8+)
325,treatment,iOS,60,2,False,0,262,Low (0-3)
326,treatment,iOS,23,12,False,0,200,High (8+)
327,treatment,iOS,256,4,False,0,229,Mid (4-7)
328,control,iOS,162,7,True,0,193,Mid (4-7)
329,control,Android,169,14,False,0,151,High (8+)
330,control,Android,44,4,True,0,183,Mid (4-7)
331,treatment,iOS,189,6,False,1,459,Mid (4-7)
332,control,iOS,261,7,True,0,74,Mid (4-7)
333,control,Android,79,5,True,0,198,Mid (4-7)
334,control,iOS,290,10,False,0,221,High (8+)
335,control,Android,77,5,True,0,185,Mid (4-7)
336,treatment,iOS,255,9,False,1,440,High (8+)
337,treatment,iOS,6,3,True,0,222,Low (0-3)
338,control,iOS,144,7,False,0,141,Mid (4-7)
339,control,Android,628,11,False,0,282,High (8+)
340,control,iOS,715,11,False,0,243,High (8+)
341,control,iOS,59,7,False,0,195,Mid (4-7)
342,control,iOS,104,5,False,0,164,Mid (4-7)
343,control,Android,11,7,False,1,488,Mid (4-7)
344,control,Android,371,1,False,1,433,Low (0-3)
345,treatment,iOS,151,5,True,1,482,Mid (4-7)
346,treatment,iOS,87,5,False,0,279,Mid (4-7)
347,control,Android,21,3,True,1,477,Low (0-3)
348,control,iOS,527,8,False,0,175,High (8+)
349,treatment,iOS,135,3,False,1,325,Low (0-3)
350,treatment,iOS,59,7,True,0,121,Mid (4-7)
351,treatment,Android,77,4,False,0,199,Mid (4-7)
352,treatment,iOS,56,3,False,1,427,Low (0-3)
353,control,Android,165,4,False,0,156,Mid (4-7)
354,control,iOS,478,4,True,0,193,Mid (4-7)
355,treatment,iOS,349,9,True,1,424,High (8+)
356,control,Android,111,6,False,0,125,Mid (4-7)
357,treatment,iOS,315,7,False,0,50,Mid (4-7)
358,treatment,iOS,99,5,True,0,138,Mid (4-7)
359,treatment,Android,52,5,False,1,418,Mid (4-7)
360,control,Android,737,5,False,0,93,Mid (4-7)
361,treatment,Android,65,10,False,0,292,High (8+)
362,control,Android,70,4,False,0,209,Mid (4-7)
363,treatment,Android,823,4,False,0,223,Mid (4-7)
364,treatment,iOS,25,6,False,0,91,Mid (4-7)
365,control,iOS,257,8,True,0,206,High (8+)
366,treatment,Android,494,7,True,0,271,Mid (4-7)
367,treatment,iOS,129,7,False,0,175,Mid (4-7)
368,control,Android,0,5,False,0,200,Mid (4-7)
369,control,Android,84,8,True,0,164,High (8+)
370,control,iOS,21,5,False,0,206,Mid (4-7)
371,control,Android,96,5,False,0,180,Mid (4-7)
372,control,iOS,280,6,True,1,470,Mid (4-7)
373,treatment,iOS,103,7,True,0,204,Mid (4-7)
374,control,Android,101,4,True,0,179,Mid (4-7)
375,control,iOS,146,6,True,0,200,Mid (4-7)
376,treatment,iOS,156,8,False,0,175,High (8+)
377,control,iOS,349,6,False,0,245,Mid (4-7)
378,treatment,Android,66,8,False,0,293,High (8+)
379,control,Android,310,9,False,0,195,High (8+)
380,control,Android,150,7,False,0,211,Mid (4-7)
381,treatment,Android,64,7,True,1,354,Mid (4-7)
382,treatment,iOS,62,5,False,1,450,Mid (4-7)
383,treatment,Android,80,6,False,0,86,Mid (4-7)
384,treatment,Android,175,3,True,0,211,Low (0-3)
385,treatment,iOS,47,9,False,1,486,High (8+)
386,control,iOS,455,6,True,0,262,Mid (4-7)
387,control,Android,153,10,True,0,230,High (8+)
388,treatment,Android,454,6,False,0,171,Mid (4-7)
389,treatment,Android,8,12,True,0,217,High (8+)
390,treatment,Android,75,9,False,1,378,High (8+)
391,control,iOS,4,3,False,0,174,Low (0-3)
392,control,Android,57,7,False,0,199,Mid (4-7)
393,treatment,iOS,356,4,False,0,209,Mid (4-7)
394,control,iOS,6,5,True,1,357,Mid (4-7)
395,treatment,Android,103,6,False,0,161,Mid (4-7)
396,treatment,iOS,22,4,True,0,230,Mid (4-7)
397,control,Android,97,8,False,1,388,High (8+)
398,treatment,iOS,328,6,False,0,191,Mid (4-7)
399,treatment,iOS,175,4,True,0,146,Mid (4-7)
400,control,iOS,240,5,False,1,376,Mid (4-7)
401,treatment,iOS,77,8,False,0,127,High (8+)
402,treatment,iOS,520,7,True,0,91,Mid (4-7)
403,treatment,iOS,222,3,False,0,55,Low (0-3)
404,control,Android,98,7,False,0,228,Mid (4-7)
405,treatment,iOS,100,4,False,1,448,Mid (4-7)
406,control,iOS,451,7,False,0,143,Mid (4-7)
407,control,iOS,154,8,False,0,181,High (8+)
408,treatment,Android,220,7,False,0,106,Mid (4-7)
409,control,iOS,97,5,False,0,202,Mid (4-7)
410,control,Android,45,4,False,0,316,Mid (4-7)
411,treatment,Android,231,7,False,0,223,Mid (4-7)
412,treatment,iOS,168,15,False,0,204,High (8+)
413,treatment,iOS,125,5,False,0,234,Mid (4-7)
414,treatment,Android,176,8,False,1,393,High (8+)
415,control,Android,42,14,False,0,156,High (8+)
416,control,Android,284,7,False,0,156,Mid (4-7)
417,control,iOS,532,7,False,0,146,Mid (4-7)
418,treatment,iOS,399,5,False,0,91,Mid (4-7)
419,treatment,iOS,69,5,False,0,189,Mid (4-7)
420,treatment,iOS,93,7,False,0,181,Mid (4-7)
421,treatment,iOS,297,9,False,0,198,High (8+)
422,control,Android,162,7,False,0,118,Mid (4-7)
423,control,iOS,142,9,False,0,66,High (8+)
424,control,Android,470,3,True,1,467,Low (0-3)
425,treatment,Android,138,9,False,0,198,High (8+)
426,control,iOS,130,6,False,0,201,Mid (4-7)
427,treatment,Android,7,9,False,0,284,High (8+)
428,control,iOS,12,5,True,1,331,Mid (4-7)
429,control,Android,1,4,False,0,100,Mid (4-7)
430,control,iOS,440,4,True,0,114,Mid (4-7)
431,treatment,iOS,94,7,True,0,211,Mid (4-7)
432,treatment,Android,113,3,True,0,182,Low (0-3)
433,control,iOS,336,4,False,1,366,Mid (4-7)
434,control,Android,169,6,False,0,262,Mid (4-7)
435,treatment,iOS,169,7,True,0,202,Mid (4-7)
436,control,iOS,63,6,False,0,183,Mid (4-7)
437,treatment,iOS,323,8,False,0,118,High (8+)
438,treatment,iOS,32,9,False,0,121,High (8+)
439,control,iOS,9,2,True,0,218,Low (0-3)
440,control,Android,38,5,True,0,106,Mid (4-7)
441,treatment,Android,56,6,False,0,157,Mid (4-7)
442,control,Android,59,7,False,1,457,Mid (4-7)
443,control,Android,199,6,False,0,120,Mid (4-7)
444,treatment,iOS,44,3,False,0,169,Low (0-3)
445,treatment,Android,203,3,False,1,415,Low (0-3)
446,treatment,iOS,17,6,True,1,534,Mid (4-7)
447,treatment,Android,28,7,False,1,347,Mid (4-7)
448,control,iOS,127,0,True,0,165,
449,control,Android,458,6,False,0,107,Mid (4-7)
450,treatment,Android,353,8,False,1,462,High (8+)
451,treatment,Android,623,6,False,0,237,Mid (4-7)
452,control,Android,189,2,False,0,120,Low (0-3)
453,treatment,Android,202,6,True,1,389,Mid (4-7)
454,control,Android,176,6,False,0,94,Mid (4-7)
455,control,iOS,175,5,True,0,264,Mid (4-7)
456,control,iOS,28,7,False,0,43,Mid (4-7)
457,control,iOS,141,8,False,0,114,High (8+)
458,control,iOS,87,7,False,0,113,Mid (4-7)
459,control,iOS,105,2,False,0,157,Low (0-3)
460,control,iOS,133,12,False,0,141,High (8+)
461,treatment,iOS,24,4,True,0,187,Mid (4-7)
462,treatment,Android,80,9,False,1,401,High (8+)
463,treatment,Android,11,1,False,1,525,Low (0-3)
464,treatment,iOS,701,9,True,0,151,High (8+)
465,control,iOS,22,5,True,0,106,Mid (4-7)
466,control,iOS,53,5,False,0,241,Mid (4-7)
467,treatment,iOS,399,9,True,1,256,High (8+)
468,control,Android,118,5,False,0,69,Mid (4-7)
469,treatment,iOS,26,4,True,0,207,Mid (4-7)
470,control,iOS,87,6,False,0,185,Mid (4-7)
471,treatment,Android,22,4,False,0,185,Mid (4-7)
472,control,Android,40,3,False,0,149,Low (0-3)
473,treatment,iOS,9,5,False,1,457,Mid (4-7)
474,treatment,Android,103,7,False,1,425,Mid (4-7)
475,treatment,iOS,295,6,True,0,237,Mid (4-7)
476,control,iOS,158,6,False,0,186,Mid (4-7)
477,treatment,iOS,167,9,False,0,84,High (8+)
478,treatment,iOS,40,7,False,0,183,Mid (4-7)
479,treatment,iOS,75,7,True,1,328,Mid (4-7)
480,treatment,iOS,335,8,False,1,402,High (8+)
481,treatment,Android,16,9,True,0,187,High (8+)
482,control,Android,351,9,True,0,173,High (8+)
483,treatment,iOS,118,10,False,0,239,High (8+)
484,treatment,iOS,326,3,True,0,140,Low (0-3)
485,treatment,Android,68,6,False,0,238,Mid (4-7)
486,control,iOS,74,4,True,0,158,Mid (4-7)
487,control,Android,250,3,False,0,228,Low (0-3)
488,treatment,Android,276,6,True,1,372,Mid (4-7)
489,treatment,iOS,46,2,False,0,205,Low (0-3)
490,control,iOS,649,5,True,0,144,Mid (4-7)
491,treatment,iOS,15,4,True,1,368,Mid (4-7)
492,control,iOS,12,3,True,0,208,Low (0-3)
493,control,iOS,162,9,True,0,154,High (8+)
494,control,Android,230,4,False,0,185,Mid (4-7)
495,control,iOS,583,7,False,1,481,Mid (4-7)
496,treatment,iOS,93,10,False,0,138,High (8+)
497,control,iOS,4,3,False,0,187,Low (0-3)
498,treatment,iOS,166,4,True,0,82,Mid (4-7)
499,treatment,iOS,61,7,False,0,202,Mid (4-7)
500,treatment,iOS,102,6,False,1,526,Mid (4-7)
501,treatment,iOS,120,9,True,0,42,High (8+)
502,control,Android,12,5,True,0,205,Mid (4-7)
503,treatment,iOS,119,7,False,0,337,Mid (4-7)
504,treatment,Android,100,7,False,0,177,Mid (4-7)
505,control,iOS,224,4,False,0,116,Mid (4-7)
506,treatment,iOS,186,9,True,0,218,High (8+)
507,treatment,iOS,36,8,True,0,157,High (8+)
508,treatment,Android,41,6,False,0,207,Mid (4-7)
509,treatment,iOS,52,1,False,0,120,Low (0-3)
510,treatment,iOS,35,4,False,1,388,Mid (4-7)
511,control,iOS,192,2,True,0,199,Low (0-3)
512,treatment,iOS,934,7,False,1,356,Mid (4-7)
513,treatment,iOS,190,7,True,0,138,Mid (4-7)
514,control,Android,167,6,False,0,237,Mid (4-7)
515,control,iOS,94,10,False,0,151,High (8+)
516,control,Android,67,6,False,0,206,Mid (4-7)
517,treatment,iOS,435,6,False,0,146,Mid (4-7)
518,treatment,Android,625,3,True,0,252,Low (0-3)
519,control,Android,123,10,False,0,284,High (8+)
